food_id,diet,intolerances,excluded_ingredients,food_type,meal_costs_perserving,servings,all_diets,calories,carbs,fat,protein
1424143,vegan,gluten,beef,main course,1.979,4,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",362.0,54g,10g,17g
648462,vegetarian,none,garlic,main course,1.8873,4,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian""]",200.0,14g,7g,16g
653251,vegan,tree nut,beef,main course,1.0577,4,"[""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",686.0,96g,24g,20g
716311,gluten free,tree nut,garlic,main course,1.5108,2,"[""gluten free"", ""dairy free""]",486.0,95g,4g,15g
37513,vegan,none,garlic,main course,23.0666,1,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",738.0,107g,18g,32g
648097,ketogenic,tree nut,mushrooms,main course,1.66,4,"[""gluten free"", ""dairy free"", ""paleolithic"", ""primal"", ""whole 30"", ""ketogenic""]",467.0,5g,32g,36g
632925,ketogenic,tree nut,beef,main course,1.7903,4,"[""gluten free"", ""lacto ovo vegetarian"", ""primal"", ""ketogenic""]",260.0,5g,19g,17g
634715,ketogenic,gluten,mushrooms,main course,6.3749,4,"[""gluten free"", ""dairy free"", ""whole 30"", ""ketogenic""]",410.0,6g,28g,32g
659742,ketogenic,seafood,none,main course,2.2021,2,"[""gluten free"", ""dairy free"", ""whole 30"", ""ketogenic""]",519.0,4g,37g,38g
1096218,ketogenic,none,beef,main course,3.1979,4,"[""gluten free"", ""primal"", ""ketogenic""]",874.0,18g,76g,32g
715415,none,dairy,none,main course,3.0045,8,"[""gluten free"", ""dairy free""]",477.0,51g,20g,26g
782601,vegan,tree nut,mushrooms,main course,1.6843,6,"[""gluten free"", ""dairy free"", ""lacto ovo vegetarian"", ""vegan""]",392.0,69g,6g,18g
716342,ketogenic,dairy,beef,main course,1.6749,1,"[""gluten free"", ""dairy free"", ""whole 30"", ""ketogenic""]",564.0,21g,35g,43g
